case,k,c,mean,lower,upper,rel_interval,threshold,c_div_k
alpha_i = c / k + 1,1000,6139993,0.001,0.0009751559222746469,0.0010251519261820219,0.04999600390737503,0.05,6139.993
alpha_i = c / k + 1,1500,254187,0.0006666666666666666,0.0005703692946058487,0.0007703597316407462,0.29998565555234635,0.3,169.458
alpha_i = c / k + 1,1500,2302309,0.0006666666666666666,0.0006337492034089304,0.0007004052447753262,0.09998406204959366,0.1,1534.8726666666666
alpha_i = c / k + 1,1500,9213394,0.0006666666666666666,0.0006501042775491524,0.0006834343493071771,0.04999510763703703,0.05,6142.2626666666665
alpha_i = c / 2 + 1,2,168,0.5,0.42515287797605156,0.5748471220239484,0.29938848809579366,0.3,84.0
alpha_i = c / 2 + 1,2,1534,0.5,0.4750068158098184,0.5249931841901816,0.09997273676072638,0.1,767.0
alpha_i = c / 2 + 1,2,6144,0.5,0.48750110504758415,0.5124988949524159,0.049995579809663404,0.05,3072.0
alpha_i = c / 2 + 1,3,169,0.49709302325581395,0.42271198928561216,0.5715381086759211,0.2993928951477561,0.3,56.333333333333336
alpha_i = c / 2 + 1,3,1535,0.4996749024707412,0.4746983646931687,0.5246522411032605,0.09997275461121821,0.1,511.6666666666667
alpha_i = c / 2 + 1,3,6144,0.49991865950870346,0.487420806261007,0.5124165628898761,0.04999964724948217,0.05,2048.0
alpha_i = c / 2 + 1,5,171,0.4914772727272727,0.418008984131457,0.5651290793730311,0.29934262153198904,0.3,34.2
alpha_i = c / 2 + 1,5,1537,0.4990272373540856,0.47408392280760303,0.5239729420166728,0.09997253751836978,0.1,307.4
alpha_i = c / 2 + 1,5,6146,0.49975613721346124,0.487262398734036,0.512250025897767,0.04999964043074484,0.05,1229.2
alpha_i = c / 2 + 1,10,175,0.4783783783783784,0.4068941730170328,0.5503055007959342,0.2997863914022233,0.3,17.5
alpha_i = c / 2 + 1,10,1542,0.49742268041237114,0.47256201858878694,0.5222896340073941,0.09997054291409117,0.1,154.2
alpha_i = c / 2 + 1,10,6152,0.4993508601103538,0.4868684091011227,0.5118337102371444,0.04999551043229303,0.05,615.2
alpha_i = c / 2 + 1,100,220,0.346875,0.29575275565966264,0.3998103014062323,0.29998571746758823,0.3,2.2
alpha_i = c / 2 + 1,100,1621,0.4715281812899477,0.4479850037254607,0.49513403884176943,0.09999197712281867,0.1,16.21
alpha_i = c / 2 + 1,100,6238,0.49226885452824237,0.47996447211540383,0.5045778583641007,0.04999988527059007,0.05,62.38
alpha_i = c / 2 + 1,1000,300,0.11615384615384615,0.09931193563117541,0.13411409924009177,0.29962127610325345,0.3,0.3
alpha_i = c / 2 + 1,1000,2039,0.33580125041131953,0.3191169012987201,0.3526903017787004,0.09997997457977477,0.1,2.039
alpha_i = c / 2 + 1,1000,6919,0.4369869933072358,0.42607843331636613,0.44792570021631506,0.04999523380456452,0.05,6.919
alpha_i = c / 2 + 1,1500,310,0.0861878453038674,0.07370244626965908,0.09953914515084616,0.2997719549676194,0.3,0.20666666666666667
alpha_i = c / 2 + 1,1500,2163,0.29552279552279553,0.2808556314028314,0.31040144882761156,0.09997813323507604,0.1,1.442
alpha_i = c / 2 + 1,1500,7202,0.41392783268214206,0.4035989505995221,0.42429418843667555,0.04999721256493869,0.05,4.801333333333333
alpha_i = c / (2k) + 1,2,506,0.25098425196850394,0.21427023321403196,0.28955526366117657,0.29995918013450557,0.3,253.0
alpha_i = c / (2k) + 1,2,4605,0.25010853049706966,0.23770798544242247,0.2627145745956696,0.09998295181515257,0.1,2302.5
alpha_i = c / (2k) + 1,2,18433,0.25002712232167074,0.2438021845425124,0.25630343239668607,0.04999956699933646,0.05,9216.5
alpha_i = c / (2k) + 1,3,846,0.16725559481743227,0.14292323816205924,0.19307250244657992,0.2998360942081554,0.3,282.0
alpha_i = c / (2k) + 1,3,7677,0.16673177083333332,0.15847882834558943,0.17514911380894316,0.09998265705471035,0.1,2559.0
alpha_i = c / (2k) + 1,3,30732,0.166682934764926,0.162537008858126,0.17086994744290163,0.049992751786663854,0.05,10244.0
alpha_i = c / (2k) + 1,5,1524,0.10032701111837802,0.08577614210756,0.11586791111202066,0.29993686315397877,0.3,304.8
alpha_i = c / (2k) + 1,5,13819,0.10003616898148149,0.09508970343901726,0.10509224520566351,0.09998925257221618,0.1,2763.8
alpha_i = c / (2k) + 1,5,55322,0.10000903717895421,0.0975229177645779,0.1025225464404238,0.04999176891283996,0.05,11064.4
alpha_i = c / (2k) + 1,10,3219,0.050154846701765246,0.04289548016460262,0.05794182946568238,0.29999791227654554,0.3,321.9
alpha_i = c / (2k) + 1,10,29171,0.05001713443679106,0.047545524036553787,0.05254716443133489,0.09999853952252917,0.1,2917.1
alpha_i = c / (2k) + 1,10,116775,0.05000428137175151,0.04876157824708326,0.051261582621443536,0.04999580647453476,0.05,11677.5
alpha_i = c / (2k) + 1,100,33748,0.005014771921531553,0.004290345141728675,0.005794579402731426,0.29996065315436027,0.3,337.48
alpha_i = c / (2k) + 1,100,305566,0.005001635772379002,0.0047546306456750665,0.00525477592911161,0.09999634243631705,0.1,3055.66
alpha_i = c / (2k) + 1,100,1223238,0.005000408717786908,0.00487618307124042,0.0051261673336759905,0.04999276590058607,0.05,12232.38
alpha_i = c / (2k) + 1,1000,339043,0.0005014704022726537,0.0004290426068984657,0.0005794610468464745,0.29995477154048467,0.3,339.043
alpha_i = c / (2k) + 1,1000,3069834,0.0005001628222170264,0.0004754650557372801,0.0005254768129924203,0.09999095301297618,0.1,3069.834
alpha_i = c / (2k) + 1,1000,12284879,0.0005000406971287932,0.00048761705541314703,0.000512618368467721,0.04999855651376015,0.05,12284.879
alpha_i = c / (2k) + 1,1500,508577,0.0003343135774925485,0.0002860253562949709,0.0003863115140214646,0.2999763230637229,0.3,339.05133333333333
alpha_i = c / (2k) + 1,1500,4604862,0.00033344187886232126,0.0003169755746143628,0.00035031912651328767,0.09999809265917815,0.1,3069.908
alpha_i = c / (2k) + 1,1500,18434130,0.0003333604547281541,0.0003250788700279375,0.000341744722156756,0.04999348870701836,0.05,12289.42
